sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
400.0,5,4.0,3.0,1995000,0,0,1970.0,0,1,1,0,0,0,1,3.0,1,el viso,chamartín,6255.45,Pisos
187.0,4,3.0,3.0,845000,1,0,1970.0,1,1,1,0,0,1,1,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
90.0,2,2.0,2.0,470000,0,0,1918.0,1,1,1,0,0,0,1,3.0,1,ciudad jardín,chamartín,4572.45,Pisos
120.0,3,1.0,6.0,750000,0,0,1960.0,1,1,0,0,0,0,0,5.0,0,el viso,chamartín,6255.45,Pisos
142.0,3,2.0,5.0,598000,1,0,1981.0,1,1,1,0,1,1,0,2.0,1,prosperidad,chamartín,4255.84,Pisos
216.0,4,3.0,6.0,1180000,1,0,1970.0,1,1,1,0,0,1,1,3.0,1,el viso,chamartín,6255.45,Pisos
459.0,6,4.0,8.0,2800000,0,0,1958.0,1,1,1,0,0,1,1,3.0,1,el viso,chamartín,6255.45,Dúplex
342.0,5,5.0,2.0,1850000,0,0,1970.0,1,1,1,0,0,0,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
367.0,4,4.0,8.0,2150000,1,0,1970.0,0,1,1,0,1,0,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
295.0,4,3.0,7.0,1650000,1,0,1970.0,0,1,1,0,0,0,1,3.0,1,el viso,chamartín,6255.45,Pisos
442.0,5,5.0,1.0,1150000,1,0,1968.0,0,1,1,0,1,1,1,3.0,1,prosperidad,chamartín,4255.84,Pisos
175.0,4,3.0,3.0,790000,0,0,1979.0,0,1,1,0,0,1,1,3.0,1,ciudad jardín,chamartín,4572.45,Pisos
187.0,3,2.0,1.0,900000,0,0,1979.0,1,1,1,0,0,0,0,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
416.0,5,3.0,2.0,1699000,0,0,1970.0,1,1,1,0,1,1,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
180.0,5,3.0,1.0,999000,0,0,1980.0,1,1,1,0,1,0,1,3.0,1,castilla,chamartín,4354.35,Pisos
162.0,2,2.0,2.0,1280000,0,0,2008.0,1,1,1,0,1,0,1,3.0,1,nueva españa,chamartín,5363.75,Pisos
248.0,3,3.0,1.0,1490000,0,0,1963.0,1,1,1,0,0,1,1,3.0,1,nueva españa,chamartín,5363.75,Dúplex
92.0,2,1.0,5.0,570000,0,0,1962.0,1,1,1,0,0,0,1,3.0,0,nueva españa,chamartín,5363.75,Pisos
315.0,5,4.0,2.0,2400000,1,0,1968.0,0,0,0,1,0,0,1,3.0,1,el viso,chamartín,6255.45,Casa o chalet
136.0,3,2.0,6.0,760000,1,0,1986.0,0,1,1,0,0,0,0,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
350.0,5,5.0,2.0,2355000,0,0,1918.0,1,0,0,1,1,1,0,3.0,1,nueva españa,chamartín,5363.75,Casa o chalet
138.0,3,2.0,1.0,800000,0,0,1970.0,1,1,1,0,0,1,0,3.0,1,nueva españa,chamartín,5363.75,Pisos
206.0,4,3.0,2.0,1195000,0,0,1970.0,0,1,1,0,0,0,0,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
189.0,4,3.0,2.0,1100000,1,0,1940.0,0,0,0,1,0,1,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Casa o chalet
139.0,3,2.0,9.0,700000,0,0,1970.0,0,1,1,0,0,0,0,3.0,0,castilla,chamartín,4354.35,Pisos
240.0,5,3.0,2.0,1200000,0,0,1970.0,1,0,0,1,0,0,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Casa o chalet
191.0,4,3.0,6.0,1200000,0,0,1970.0,0,1,1,0,0,0,0,3.0,1,nueva españa,chamartín,5363.75,Pisos
100.0,4,1.0,5.0,440000,0,0,1970.0,0,1,1,0,0,1,0,3.0,0,castilla,chamartín,4354.35,Pisos
162.0,4,2.0,4.0,650000,1,0,1960.0,0,1,1,0,0,0,0,1.0,0,castilla,chamartín,4354.35,Pisos
180.0,4,2.0,2.0,680000,1,0,1970.0,1,1,1,0,0,0,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
75.0,2,2.0,0.0,322400,0,0,1963.0,1,1,1,0,0,0,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
68.0,1,1.0,2.0,375000,0,0,1970.0,1,1,1,0,0,0,1,3.0,0,el viso,chamartín,6255.45,Pisos
78.0,2,1.0,1.0,260000,0,0,1970.0,0,1,0,0,0,0,0,3.0,0,ciudad jardín,chamartín,4572.45,Pisos
98.0,2,2.0,1.0,440000,0,0,1970.0,1,1,1,0,0,0,0,3.0,1,prosperidad,chamartín,4255.84,Pisos
85.0,3,1.0,2.0,299000,0,0,1970.0,0,1,0,0,0,0,1,3.0,0,ciudad jardín,chamartín,4572.45,Pisos
86.0,3,1.0,3.0,569000,0,0,1952.0,1,1,1,0,0,0,0,5.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
126.0,4,2.0,1.0,435000,0,0,1976.0,0,1,1,0,0,0,0,3.0,0,castilla,chamartín,4354.35,Pisos
150.0,3,2.0,1.0,625000,0,0,1987.0,1,1,1,0,0,0,0,3.0,1,castilla,chamartín,4354.35,Pisos
300.0,6,4.0,3.0,1395000,0,0,1985.0,1,1,1,0,0,1,1,3.0,1,nueva españa,chamartín,5363.75,Dúplex
135.0,2,2.0,1.0,760000,0,0,1970.0,1,1,1,0,1,1,1,5.0,1,ciudad jardín,chamartín,4572.45,Dúplex
188.0,2,2.0,3.0,1240000,0,0,1970.0,1,1,1,0,1,1,1,2.0,1,nueva españa,chamartín,5363.75,Pisos
260.0,6,4.0,2.0,1350000,0,0,1970.0,0,1,1,0,0,0,1,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
66.0,2,1.0,2.0,285000,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
66.0,1,1.0,0.0,229000,0,0,1970.0,1,1,1,0,0,0,0,3.0,0,ciudad jardín,chamartín,4572.45,Pisos
39.0,0,1.0,4.0,246500,0,0,2010.0,1,1,1,0,1,0,0,3.0,0,el viso,chamartín,6255.45,Pisos
107.0,3,2.0,1.0,325000,0,0,1970.0,0,1,1,0,0,0,0,6.0,1,castilla,chamartín,4354.35,Pisos
185.0,5,2.0,2.0,1590000,1,0,1970.0,1,0,0,0,0,0,1,3.0,1,bernabéu-hispanoamérica,chamartín,5170.22,Casa o chalet
77.0,3,1.0,4.0,330000,0,0,1963.0,0,0,1,0,0,1,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
233.0,5,4.0,1.0,1000000,1,0,1981.0,1,1,1,0,1,1,0,3.0,1,castilla,chamartín,4354.35,Pisos
74.0,3,1.0,3.0,330000,0,0,1950.0,1,1,1,0,0,0,0,3.0,0,prosperidad,chamartín,4255.84,Pisos
163.0,4,2.0,4.0,650000,1,0,1960.0,0,1,1,0,0,0,1,3.0,1,castilla,chamartín,4354.35,Pisos
46.0,1,1.0,6.0,260000,1,0,1968.0,0,1,1,0,0,0,0,3.0,0,bernabéu-hispanoamérica,chamartín,5170.22,Pisos
