Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,is_new_development,built_year,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,neighborhood,district,neigh_price_m2,house_type
101,102.0,3,2.0,3.0,127500,0,0,1964.0,0,0,1,0,0,1,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
102,80.0,2,1.0,3.0,148000,0,0,1999.0,1,1,1,0,0,1,1,3.0,1,San Andrés,Villaverde,1617.18,Pisos
103,108.0,2,1.0,4.0,205000,0,0,2002.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Dúplex
104,80.0,3,2.0,4.0,220000,0,0,2000.0,1,1,1,0,1,0,0,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
105,16.0,3,1.0,1.0,114000,0,0,1970.0,0,0,1,0,0,0,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
106,54.0,2,1.0,3.0,89900,0,0,1964.0,0,0,1,0,0,1,0,1.0,0,San Andrés,Villaverde,1617.18,Pisos
107,70.0,2,2.0,4.0,210000,0,0,2003.0,1,1,1,0,1,0,1,3.0,1,Los Rosales,Villaverde,1827.79,Pisos
108,99.0,2,2.0,0.5,145000,0,0,2007.0,0,1,1,0,0,0,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
109,123.0,4,2.0,3.0,275000,0,0,1970.0,1,1,1,0,0,1,0,3.0,0,Los Rosales,Villaverde,1827.79,Pisos
110,64.0,3,1.0,5.0,104000,0,0,1970.0,1,0,1,0,0,0,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
111,107.0,3,2.0,6.0,228629,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
112,76.0,2,2.0,6.0,169021,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
113,109.0,3,2.0,5.0,223022,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
114,108.0,3,2.0,5.0,220072,0,1,1970.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
115,103.0,3,2.0,6.0,235718,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
116,103.0,3,2.0,1.0,245000,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
117,143.0,3,2.0,0.0,260000,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
118,99.0,3,2.0,6.0,235000,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
119,100.0,3,2.0,3.0,235000,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
120,176.0,2,2.0,6.0,265000,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
121,87.0,2,2.0,2.0,190000,0,1,1970.0,0,1,1,0,1,0,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
122,106.0,3,2.0,4.0,256115,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
123,113.0,3,2.0,0.0,261989,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
124,115.0,3,2.0,1.0,273353,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
125,129.0,3,2.0,7.0,297621,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
126,115.0,3,2.0,6.0,279778,0,1,1970.0,0,1,1,0,1,1,0,3.0,0,Butarque,Villaverde,2197.8,Pisos
127,110.0,2,2.0,0.0,135000,1,0,1970.0,1,0,1,0,0,1,1,3.0,0,San Andrés,Villaverde,1617.18,Pisos
128,90.0,3,2.0,2.0,195000,0,0,1985.0,1,1,1,0,0,1,1,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
129,60.0,2,1.0,1.0,126900,1,0,1970.0,0,0,1,0,0,0,0,1.0,0,Los Rosales,Villaverde,1827.79,Pisos
130,54.0,2,1.0,1.0,136400,0,0,1970.0,0,0,0,0,0,1,0,3.0,0,Los Ángeles,Villaverde,1796.68,Pisos
131,80.0,3,1.0,0.0,145000,0,0,1970.0,1,0,1,0,0,1,0,3.0,0,San Andrés,Villaverde,1617.18,Pisos
132,73.0,2,1.0,1.0,127500,0,0,1999.0,0,1,1,0,0,0,0,1.0,0,San Andrés,Villaverde,1617.18,Pisos
133,122.0,3,2.0,0.0,179000,0,0,1999.0,0,1,1,0,0,0,0,3.0,1,San Andrés,Villaverde,1617.18,Pisos
134,98.0,3,2.0,0.0,266122,0,0,2020.0,0,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
135,97.0,3,2.0,0.0,261989,0,0,2020.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
136,111.0,3,2.0,7.0,297621,0,0,2020.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Áticos
137,99.0,3,2.0,3.0,251569,0,0,2020.0,1,1,1,0,1,1,1,3.0,1,Butarque,Villaverde,2197.8,Pisos
